"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PECUL23A000004",557.410163741543,-0.296369500620466,0.55224287157674,-0.536665144765534,0.591498936438121,1
"PECUL23A000011",943.901928407003,0.00504421390672576,0.186460188622128,0.0270524981445136,0.978417861868343,1
"PECUL23A000017",308.99016498123,0.26953574331843,0.488552574706896,0.551702636057412,0.581152103624534,1
"PECUL23A000021",389.350898298656,0.0297717980521086,0.129021629759807,0.230750441670388,0.817508684011809,1
"PECUL23A000024",61.2082159688066,-0.368722114793093,0.792754689059358,-0.465115022190029,0.641849088803692,1
"PECUL23A000026",121.046475617243,-0.490410525839879,0.546359956630116,-0.897596026005773,0.369400958457722,1
"PECUL23A000030",311.762036941771,0.116143917879948,0.191490492706997,0.606525766569841,0.544165677575974,1
"PECUL23A000040",9338.21031028658,0.0426390079344297,0.142152348922203,0.299952890386391,0.764213089941252,1
"PECUL23A000044",102.724894447528,0.134518753643187,0.244785793129098,0.549536604733604,0.582637251190027,1
"PECUL23A000048",117.053244186012,-0.146424956472061,0.206623669945622,-0.708655288673346,0.478538417282024,1
"PECUL23A000050",1.67818991509292,-0.615160313559058,1.32708564979327,-0.463542284294073,0.642975713311182,NA
"PECUL23A000053",72.4097739970289,-0.298776308595194,0.554743089609568,-0.538585003024508,0.590173237874956,1
"PECUL23A000055",165.710991339278,0.197822711392791,0.268256011753194,0.737439992863221,0.460854822367596,1
"PECUL23A000057",21.5135106367773,0.495678406678139,0.528926196514922,0.937140965874159,0.348686051438907,1
"PECUL23A000059",253.730234866232,0.0632934944530739,0.332800252869421,0.190184634498785,0.84916445127074,1
"PECUL23A000062",133.218126947102,0.0242612489916106,0.230517511391038,0.105246880574097,0.916179911940168,1
"PECUL23A000066",11418.2079855148,0.106670289313074,0.417413680213011,0.255550535043891,0.798297917569542,1
"PECUL23A000072",119.954757694277,0.0525396870657525,0.14756116109645,0.356053630070119,0.721800402387833,1
"PECUL23A000075",779.91399326009,0.182597109771495,0.329190969881897,0.554684443005847,0.579110518925668,1
"PECUL23A000078",311.285674665423,0.137238303404528,0.198910903289127,0.689948620891062,0.49022649835806,1
"PECUL23A000079",131.871090272685,-0.0501154682184173,0.244973933489782,-0.204574697007539,0.83790442614631,1
"PECUL23A000080",13.4853252357869,0.172951332075384,0.456982450317855,0.378463838064432,0.705086052512862,1
"PECUL23A000084",4.92938232964697,1.18389166268009,1.74310295025865,0.679186311115141,0.497019819673369,1
"PECUL23A000086",592.502611645854,0.487444371840509,0.274663845050784,1.77469434228004,0.0759483700199263,0.798342148249562
"PECUL23A000091",855.708047185403,0.0550967085703482,0.415785653749283,0.132512288660088,0.894579103792881,1
"PECUL23A000093",13.162965037427,0.274729161740231,0.514222639804414,0.534261116633692,0.593160890095048,1
"PECUL23A000094",16.8755280172973,0.315245943260679,0.824972858716652,0.382128866337595,0.702365781369104,1
"PECUL23A000095",1.97414194231603,-1.58513444704176,1.22632523092574,-1.29258895362135,0.19615326214393,NA
"PECUL23A000096",14.1313837752918,-1.35847522597763,0.5317915947815,-2.5545255684904,0.0106332619863768,0.243725162962778
"PECUL23A000099",0.866430062734292,-2.52350088372257,1.72243979205745,-1.46507349363327,0.142900867515037,NA
"PECUL23A000104",118.379608330881,-0.238522520211022,0.232462362639069,-1.02606941400386,0.304858866121765,1
"PECUL23A000107",206.189170400322,0.0642888756210235,0.157699273308836,0.407667545145381,0.683517767713052,1
"PECUL23A000109",6.12554141856329,0.418718453344224,0.907758151011605,0.461266531044204,0.644607394122366,1
"PECUL23A000111",298.645550618199,0.410289510410028,0.333397109049909,1.23063307771096,0.218460128004524,1
"PECUL23A000117",205.317957347149,-0.231902052754158,0.390074905888942,-0.594506463382144,0.552173420610515,1
"PECUL23A000118",795.312644154802,0.413556583860736,0.20023502916565,2.06535582502205,0.0388893450848169,0.563985923218532
"PECUL23A000121",131.340154377092,0.0502367861161519,0.27798298437517,0.180718925041655,0.85658820333814,1
"PECUL23A000125",116.972769540975,0.0632439939029564,0.190669328977055,0.331694637214394,0.740119850531279,1
"PECUL23A000127",1061.69520206241,-0.522453131141354,0.310677847774652,-1.68165556341922,0.092635649481611,0.869613210889142
"PECUL23A000129",49.1348591398743,-0.272871006816174,0.311763855888115,-0.875249011912726,0.381438430594958,1
"PECUL23A000136",1285.06722807349,-0.0467797838685587,0.465209192069669,-0.100556447864756,0.919902570964615,1
"PECUL23A000142",274.157179495194,0.238046688205459,0.401314328976621,0.593167676849452,0.5530689421517,1
"PECUL23A000144",197.809008567584,0.0509717398515562,0.346838636922656,0.146960962318978,0.883162833249488,1
"PECUL23A000152",376.546377680831,-0.0147495862744186,0.101969247883549,-0.144647396941311,0.884989273378875,1
"PECUL23A000160",395.792989488816,-0.37687836466518,0.168444825466761,-2.23739947855833,0.025260242594074,0.431201893273421
"PECUL23A000163",1559.25518524974,0.113238280884404,0.267771351298006,0.422891695976764,0.672374281719545,1
"PECUL23A000171",272.616067714898,0.0173686487793112,0.182543532672339,0.0951479821007269,0.924197286717289,1
"PECUL23A000177",709.784876424242,0.1634413096448,0.177686399150415,0.91983016385201,0.357661517880226,1
