"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PECUL23A000004",557.410163741543,-0.0547296563084658,0.552580933238317,-0.0990436929984734,0.92110357863445,1
"PECUL23A000011",943.901928407003,0.064304636310982,0.187014571597117,0.343848266805181,0.73096039923296,1
"PECUL23A000017",308.99016498123,0.142294103455672,0.488578381726251,0.291241096163356,0.770866933959746,1
"PECUL23A000021",389.350898298656,-0.075646341388582,0.128264685344733,-0.589767488886516,0.555346541786588,1
"PECUL23A000024",61.2082159688066,0.532770006725999,0.798214577001872,0.667452113850271,0.504483387434129,1
"PECUL23A000026",121.046475617243,-0.125306945413403,0.547510885456425,-0.228866582824089,0.818972614278178,1
"PECUL23A000030",311.762036941771,-0.00501764323142968,0.190563182816338,-0.0263306015216256,0.978993646883406,1
"PECUL23A000040",9338.21031028658,-0.0650703888493119,0.142155417228131,-0.457741182982054,0.647138396735408,1
"PECUL23A000044",102.724894447528,0.182000508858336,0.242483135344936,0.750569760653404,0.452911625559688,1
"PECUL23A000048",117.053244186012,-0.0104356951977463,0.203322795945192,-0.0513257510021618,0.959065948810677,1
"PECUL23A000050",1.67818991509292,0.431560691393177,1.37926134457288,0.312892616828045,0.754362247069365,1
"PECUL23A000053",72.4097739970289,-0.0981903336501803,0.554719150109925,-0.177009093035138,0.859501247155055,1
"PECUL23A000055",165.710991339278,0.372856196061553,0.267002667570141,1.3964512019851,0.162578665599627,1
"PECUL23A000057",21.5135106367773,0.424061207023624,0.533955766198021,0.794187896954667,0.427086053351657,1
"PECUL23A000059",253.730234866232,0.430315555867707,0.333989745433014,1.28840948487747,0.197603458779386,1
"PECUL23A000062",133.218126947102,-0.100884059511361,0.232811064552367,-0.433330175717095,0.664774918888201,1
"PECUL23A000066",11418.2079855148,-0.583434469687429,0.417452442209923,-1.39760703422604,0.162231104859898,1
"PECUL23A000072",119.954757694277,0.110983685592834,0.145903728930539,0.760663804868692,0.446857899058956,1
"PECUL23A000075",779.91399326009,-0.258237234871352,0.329217993979963,-0.784395870193744,0.432807860903677,1
"PECUL23A000078",311.285674665423,0.213747998093241,0.198179225571121,1.07855905419578,0.280784342749032,1
"PECUL23A000079",131.871090272685,-0.124986407553993,0.24442840283214,-0.511341587580665,0.609111889078111,1
"PECUL23A000080",13.4853252357869,-0.033513014315003,0.459143879224341,-0.072990223394938,0.941813897360154,1
"PECUL23A000084",4.92938232964697,2.01781592243545,1.79911518761805,1.12156016264136,0.262049497840172,1
"PECUL23A000086",592.502611645854,0.432729766523145,0.274671832054118,1.57544282312096,0.115154266405563,1
